,,,,,,,,,
,Дата,Заказчик,Город,Регион,Категория,Товар,Цена за штуку,Количество,Выручка
,1/1/2021,Sweetables,Гамбург,Север,Крупы,Гречка,"1,4",216,"302,4"
,1/1/2021,Sweetables,Гамбург,Север,Сухофрукты,Изюм,"0,99",127,"125,73"
,1/1/2021,Gold Food,Штутгарт,Юг,Масла,Подсолнечное масло,"1,19",270,"321,3"
,1/1/2021,NutriFix,Штутгарт,Юг,Напитки,Зеленый чай,"0,95",196,"186,2"
,1/1/2021,NutriFix,Штутгарт,Юг,Сухофрукты,Сушеные яблоки,"1,09",108,"117,72"
,1/1/2021,NutriFix,Штутгарт,Юг,Масла,Подсолнечное масло,"1,19",222,"264,18"
,1/2/2021,Organica,Гамбург,Север,Консервы,Говядина тушеная,"1,19",75,"89,25"
,1/2/2021,Go Bio,Франкфурт,Запад,Напитки,Кофе,"5,5",29,"159,5"
,1/2/2021,Cooking Corner,Штутгарт,Юг,Крупы,Рис,"0,96",604,"579,84"
,1/2/2021,Cooking Corner,Штутгарт,Юг,Крупы,Гречка,"1,4",234,"327,6"
,1/2/2021,Go Bio,Дрезден,Восток,Масла,Сливочное масло,"1,5",57,"85,5"
,1/3/2021,NutriFix,Гамбург,Север,Консервы,Шпроты,"1,15",76,"87,4"
,1/3/2021,Organica,Гамбург,Север,Масла,Сливочное масло,"1,5",311,"466,5"
,1/3/2021,Organica,Гамбург,Север,Консервы,Шпроты,"1,15",51,"58,65"
,1/3/2021,Sweetables,Мюнхен,Юг,Напитки,Зеленый чай,"0,95",139,"132,05"
,1/3/2021,Go Bio,Франкфурт,Запад,Консервы,Килька в томате,"0,89",31,"27,59"
,1/3/2021,Cooking Corner,Штутгарт,Юг,Масла,Подсолнечное масло,"1,19",594,"706,86"
,1/3/2021,Organica,Штутгарт,Юг,Сыры,Гауда,"1,59",220,"349,8"
,1/4/2021,Sweetables,Мюнхен,Юг,Сыры,Гауда,"1,59",523,"831,57"
,1/4/2021,Gold Food,Кёльн,Запад,Масла,Сливочное масло,"1,5",191,"286,5"
,1/4/2021,Go Bio,Франкфурт,Запад,Сыры,Моцарелла,"0,59",82,"48,38"
,1/4/2021,Cooking Corner,Гамбург,Север,Сухофрукты,Изюм,"0,99",224,"221,76"
,1/4/2021,mymeal,Гамбург,Север,Сыры,Гауда,"1,59",610,"969,9"
,1/4/2021,mymeal,Гамбург,Север,Консервы,Килька в томате,"0,89",131,"116,59"
,1/5/2021,Sweetables,Мюнхен,Юг,Напитки,Зеленый чай,"0,95",334,"317,3"
,1/5/2021,Go Bio,Кёльн,Запад,Консервы,Говядина тушеная,"1,19",46,"54,74"
,1/5/2021,Go Bio,Кёльн,Запад,Крупы,Гречка,"1,4",117,"163,8"
,1/5/2021,Organica,Дрезден,Восток,Сладости,Зефир,"0,65",15,"9,75"
,1/5/2021,Organica,Дрезден,Восток,Консервы,Шпроты,"1,15",24,"27,6"
,1/5/2021,Cooking Corner,Гамбург,Север,Сухофрукты,Курага,"1,19",228,"271,32"
,1/6/2021,Cooking Corner,Бремен,Север,Сухофрукты,Сушеные яблоки,"1,09",69,"75,21"
,1/6/2021,Organica,Дрезден,Восток,Консервы,Говядина тушеная,"1,19",12,"14,28"
,1/6/2021,foodbite,Берлин,Восток,Сыры,Гауда,"1,59",1525,"2424,75"
,1/6/2021,Cooking Corner,Гамбург,Север,Консервы,Говядина тушеная,"1,19",82,"97,58"
,1/6/2021,Gold Food,Гамбург,Север,Сухофрукты,Курага,"1,19",156,"185,64"
,1/7/2021,mymeal,Мюнхен,Юг,Сухофрукты,Курага,"1,19",101,"120,19"
,1/7/2021,Organica,Мюнхен,Юг,Крупы,Перловка,"1,2",201,"241,2"
,1/7/2021,Organica,Мюнхен,Юг,Сладости,Шоколад,"0,55",414,"227,7"
,1/7/2021,foodbite,Берлин,Восток,Сладости,Зефир,"0,65",246,"159,9"
,1/7/2021,Gold Food,Берлин,Восток,Сухофрукты,Сушеные яблоки,"1,09",177,"192,93"
,1/7/2021,Gold Food,Берлин,Восток,Масла,Оливковое масло,"1,7",154,"261,8"
,1/7/2021,Gold Food,Берлин,Восток,Сухофрукты,Изюм,"0,99",180,"178,2"
,1/7/2021,Sweetables,Гамбург,Север,Сладости,Мармелад,"0,6",182,"109,2"
,1/7/2021,Gold Food,Гамбург,Север,Напитки,Зеленый чай,"0,95",340,323
,1/7/2021,Gold Food,Гамбург,Север,Сухофрукты,Курага,"1,19",141,"167,79"
,1/8/2021,foodbite,Бремен,Север,Крупы,Рис,"0,96",273,"262,08"
,1/8/2021,foodbite,Бремен,Север,Напитки,Черный чай,"0,99",246,"243,54"
,1/8/2021,mymeal,Бремен,Север,Сыры,Филадельфия ,"0,89",64,"56,96"
,1/8/2021,Cooking Corner,Берлин,Восток,Сладости,Мармелад,"0,6",509,"305,4"
,1/8/2021,Cooking Corner,Берлин,Восток,Напитки,Кофе,"5,5",561,"3085,5"
,1/8/2021,Organica,Гамбург,Север,Масла,Подсолнечное масло,"1,19",398,"473,62"
,1/9/2021,foodbite,Бремен,Север,Сухофрукты,Изюм,"0,99",63,"62,37"
,1/9/2021,mymeal,Бремен,Север,Крупы,Рис,"0,96",207,"198,72"
,1/9/2021,Cooking Corner,Берлин,Восток,Крупы,Гречка,"1,4",762,"1066,8"
,1/9/2021,Organica,Гамбург,Север,Крупы,Рис,"0,96",374,"359,04"
,1/10/2021,foodbite,Дрезден,Восток,Масла,Сливочное масло,"1,5",177,"265,5"
,1/10/2021,foodbite,Дрезден,Восток,Напитки,Кофе,"5,5",41,"225,5"
,1/11/2021,Organica,Бремен,Север,Напитки,Кофе,"5,5",27,"148,5"
,1/11/2021,Go Bio,Бремен,Север,Сыры,Филадельфия ,"0,89",28,"24,92"
,1/11/2021,foodbite,Дрезден,Восток,Масла,Оливковое масло,"1,7",57,"96,9"
,1/11/2021,Go Bio,Гамбург,Север,Сухофрукты,Курага,"1,19",84,"99,96"
,1/11/2021,Cooking Corner,Мюнхен,Юг,Крупы,Перловка,"1,2",452,"542,4"
,1/11/2021,Cooking Corner,Мюнхен,Юг,Крупы,Гречка,"1,4",302,"422,8"
